"month","point","lo80","hi80","lo95","hi95"
2026 Jun,606065.230202801,586155.64852572,625974.811879882,575616.152628809,636514.307776793
2026 Jul,608567.525420075,580405.634746065,636729.416094085,565497.63034788,651637.42049227
2026 Aug,600316.299566029,566281.803974826,634350.795157231,548265.030320068,652367.568811989
2026 Sep,596776.277603923,557654.675958465,635897.879249382,536944.951027503,656607.604180343
2026 Oct,581965.126697827,539235.50852821,624694.744867443,516615.81502186,647314.438373793
2026 Nov,569621.69235811,523716.392906377,615526.991809843,499415.595277117,639827.789439103
2026 Dec,553364.946863366,505097.26242027,601632.631306462,479545.893717885,627184.000008848
2027 Jan,562056.266446504,509534.759395653,614577.773497354,481731.553027977,642380.97986503
2027 Feb,564581.278906923,508503.973275719,620658.584538128,478818.440842347,650344.1169715
2027 Mar,575948.469531236,515518.283407673,636378.655654799,483528.475232448,668368.463830024
2027 Apr,593602.833992692,528140.230598194,659065.43738719,493486.421639887,693719.246345497
2027 May,605326.923619175,535453.932816769,675199.914421581,498465.405794399,712188.44144395
